iter	Passed	Remaining
0	51	51674
1	53	26865
2	55	18601
3	57	14411
4	60	12022
5	62	10276
6	63	9055
7	65	8136
8	67	7453
9	69	6846
10	70	6368
11	73	6028
12	74	5685
13	76	5401
14	79	5198
15	80	4963
16	82	4768
17	84	4593
18	86	4460
19	88	4337
20	90	4234
21	92	4106
22	93	3989
23	95	3893
24	97	3820
25	99	3723
26	101	3650
27	103	3585
28	105	3519
29	106	3457
30	109	3414
31	110	3348
32	112	3305
33	114	3250
34	116	3217
35	118	3168
36	120	3127
37	122	3095
38	124	3056
39	125	3014
40	128	2999
41	129	2962
42	131	2922
43	132	2887
44	134	2848
45	135	2806
46	136	2766
47	137	2727
48	138	2695
49	140	2663
50	141	2625
51	141	2588
52	142	2553
53	143	2520
54	144	2490
55	145	2459
56	146	2426
57	147	2392
58	147	2358
59	148	2326
60	149	2301
61	151	2284
62	151	2260
63	152	2233
64	153	2205
65	153	2178
66	154	2151
67	155	2136
68	156	2117
69	157	2092
70	158	2070
71	158	2047
72	159	2023
73	159	2000
74	160	1978
75	160	1956
76	161	1940
77	162	1924
78	163	1904
79	163	1883
80	164	1864
81	164	1845
82	165	1824
83	165	1806
84	166	1787
85	166	1770
86	167	1752
87	167	1735
88	168	1723
89	169	1711
90	169	1695
91	170	1680
92	170	1664
93	171	1649
94	171	1634
95	171	1619
96	172	1604
97	172	1589
98	173	1574
99	173	1562
100	174	1551
101	175	1542
102	175	1530
103	176	1518
104	176	1507
105	177	1494
106	177	1482
107	178	1470
108	178	1457
109	178	1446
110	179	1433
111	179	1422
112	180	1413
113	180	1402
114	181	1394
115	181	1383
116	181	1371
117	182	1361
118	182	1351
119	183	1342
120	183	1332
121	183	1322
122	184	1312
123	184	1302
124	184	1293
125	185	1283
126	185	1274
127	185	1266
128	186	1260
129	187	1254
130	187	1245
131	188	1236
132	188	1228
133	188	1220
134	189	1212
135	189	1204
136	189	1196
137	190	1187
138	190	1179
139	190	1172
140	191	1164
141	191	1155
142	191	1148
143	192	1142
144	192	1136
145	193	1131
146	193	1124
147	194	1118
148	194	1111
149	194	1104
150	195	1098
151	195	1091
152	195	1084
153	196	1077
154	196	1070
155	196	1064
156	196	1057
157	197	1051
158	197	1044
159	197	1039
160	198	1034
161	199	1030
162	199	1025
163	200	1019
164	200	1013
165	200	1008
166	201	1002
167	201	997
168	201	991
169	202	986
170	202	980
171	202	975
172	202	969
173	203	964
174	203	958
175	203	953
176	204	949
177	204	945
178	205	942
179	205	938
180	206	933
181	206	929
182	207	924
183	207	920
184	207	916
185	208	911
186	208	906
187	208	901
188	209	897
189	209	893
190	209	889
191	210	887
192	211	886
193	212	882
194	212	878
195	213	874
196	213	870
197	213	866
198	214	862
199	214	857
200	214	853
201	215	849
202	215	845
203	215	841
204	215	837
205	216	834
206	216	831
207	217	828
208	218	825
209	218	822
210	218	818
211	219	815
212	219	811
213	219	807
214	220	804
215	220	800
216	220	796
217	221	793
218	221	789
219	221	786
220	222	783
221	223	784
222	224	782
223	224	778
224	225	775
225	225	772
226	225	769
227	226	766
228	226	762
229	226	759
230	227	755
231	227	752
232	227	749
233	227	746
234	228	743
235	228	739
236	229	738
237	229	735
238	230	733
239	230	730
240	230	727
241	231	724
242	231	721
243	232	719
244	232	716
245	232	713
246	232	710
247	233	707
248	233	704
249	233	701
250	234	698
251	234	695
252	234	692
253	235	690
254	235	689
255	236	687
256	236	685
257	237	682
258	237	679
259	237	677
260	238	675
261	238	672
262	238	669
263	239	667
264	239	664
265	239	661
266	240	659
267	240	656
268	240	654
269	241	651
270	241	650
271	242	648
272	242	646
273	243	644
274	243	641
275	243	639
276	244	637
277	244	635
278	244	632
279	245	630
280	245	627
281	245	625
282	245	623
283	246	620
284	246	618
285	246	615
286	247	613
287	247	611
288	248	610
289	248	608
290	249	606
291	249	604
292	249	602
293	250	600
294	250	598
295	250	596
296	251	594
297	251	592
298	251	590
299	252	588
300	252	586
301	252	584
302	252	581
303	253	579
304	253	578
305	254	577
306	255	575
307	255	574
308	255	572
309	256	570
310	256	568
311	256	566
312	257	564
313	257	562
314	257	560
315	258	558
316	258	556
317	259	555
318	259	553
319	259	552
320	260	551
321	261	550
322	261	548
323	261	546
324	262	544
325	262	542
326	263	541
327	263	539
328	263	537
329	263	535
330	264	533
331	264	532
332	264	530
333	265	528
334	265	526
335	265	525
336	266	523
337	266	522
338	267	521
339	267	520
340	268	518
341	268	516
342	268	515
343	269	513
344	269	511
345	269	510
346	270	508
347	270	506
348	270	505
349	271	503
350	271	501
351	271	500
352	272	499
353	272	498
354	273	497
355	273	495
356	274	493
357	274	492
358	274	490
359	275	489
360	275	488
361	276	486
362	276	484
363	276	483
364	276	481
365	277	480
366	277	478
367	277	477
368	278	476
369	279	476
370	280	474
371	280	473
372	280	471
373	281	470
374	281	469
375	281	467
376	282	466
377	282	464
378	282	463
379	283	461
380	283	460
381	283	458
382	283	457
383	284	455
384	284	455
385	285	453
386	286	453
387	286	451
388	286	450
389	286	448
390	287	447
391	287	446
392	287	444
393	288	443
394	288	442
395	288	440
396	289	439
397	289	438
398	289	436
399	290	435
400	290	433
401	291	433
402	292	432
403	292	431
404	293	430
405	293	429
406	293	428
407	294	426
408	294	425
409	294	424
410	295	422
411	295	421
412	295	420
413	295	418
414	296	417
415	296	416
416	298	417
417	298	416
418	299	415
419	299	413
420	300	412
421	300	411
422	300	410
423	300	408
424	301	407
425	301	406
426	301	405
427	302	403
428	302	402
429	303	402
430	304	402
431	304	400
432	305	399
433	305	398
434	305	397
435	306	396
436	306	395
437	306	393
438	307	392
439	307	391
440	307	390
441	308	388
442	308	387
443	308	386
444	308	385
445	309	384
446	309	383
447	310	382
448	310	381
449	311	380
450	311	379
451	311	378
452	312	377
453	312	375
454	312	374
455	313	373
456	313	372
457	313	371
458	314	370
459	314	368
460	314	367
461	314	366
462	315	366
463	316	365
464	317	364
465	317	363
466	317	362
467	318	361
468	318	360
469	318	359
470	319	358
471	319	357
472	319	356
473	319	355
474	320	353
475	320	352
476	320	351
477	321	350
478	322	351
479	323	350
480	324	349
481	324	348
482	325	347
483	325	346
484	325	345
485	326	344
486	326	343
487	326	342
488	326	341
489	327	340
490	328	340
491	329	340
492	329	339
493	330	338
494	330	337
495	330	336
496	331	335
497	331	334
498	331	333
499	332	332
500	332	331
501	332	330
502	333	329
503	333	328
504	334	327
505	335	327
506	336	326
507	336	326
508	336	325
509	337	324
510	337	323
511	338	322
512	338	321
513	339	320
514	339	319
515	339	318
516	340	318
517	341	317
518	342	317
519	342	316
520	342	315
521	343	314
522	343	313
523	343	312
524	344	311
525	344	310
526	344	309
527	344	308
528	345	307
529	345	306
530	346	305
531	347	305
532	347	304
533	347	303
534	348	302
535	348	301
536	349	300
537	349	300
538	349	299
539	350	298
540	350	297
541	350	296
542	350	295
543	351	294
544	351	293
545	351	292
546	352	292
547	353	291
548	354	291
549	354	290
550	355	289
551	355	288
552	355	287
553	356	286
554	356	285
555	356	284
556	356	283
557	357	283
558	357	282
559	358	281
560	359	281
561	359	280
562	360	279
563	360	278
564	361	278
565	361	277
566	361	276
567	362	275
568	362	274
569	362	273
570	363	272
571	363	271
572	363	271
573	364	270
574	364	269
575	365	269
576	366	268
577	366	267
578	366	266
579	366	265
580	367	264
581	367	264
582	368	263
583	368	262
584	368	261
585	368	260
586	369	259
587	370	259
588	370	258
589	371	258
590	372	257
591	372	256
592	372	255
593	373	255
594	373	254
595	373	253
596	374	252
597	374	251
598	374	250
599	374	249
600	375	249
601	375	248
602	375	247
603	376	246
604	376	246
605	377	245
606	377	244
607	377	243
608	378	242
609	378	242
610	378	241
611	379	240
612	379	239
613	379	238
614	380	238
615	380	237
616	380	236
617	381	235
618	381	234
619	381	233
620	381	233
621	382	232
622	382	231
623	383	230
624	383	230
625	384	229
626	384	228
627	385	228
628	385	227
629	385	226
630	386	225
631	386	225
632	386	224
633	387	223
634	387	222
635	387	221
636	387	221
637	388	220
638	388	219
639	389	219
640	389	218
641	390	217
642	390	216
643	390	216
644	391	215
645	391	214
646	392	213
647	392	213
648	392	212
649	393	211
650	393	210
651	393	210
652	393	209
653	394	208
654	394	207
655	394	206
656	395	206
657	395	205
658	396	205
659	396	204
660	397	203
661	397	202
662	397	202
663	398	201
664	398	200
665	399	200
666	399	199
667	399	198
668	400	197
669	400	197
670	400	196
671	401	195
672	401	195
673	402	194
674	402	193
675	403	193
676	403	192
677	403	191
678	404	191
679	405	190
680	405	190
681	406	189
682	406	188
683	407	188
684	407	187
685	408	186
686	409	186
687	409	185
688	410	185
689	410	184
690	411	183
691	411	183
692	411	182
693	412	181
694	412	181
695	413	180
696	413	179
697	414	179
698	415	178
699	415	178
700	416	177
701	416	176
702	417	176
